Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,57.7937449634406,13.835443340380095,5.100168964373393,2.750000000000008e-2,9.594559856182355e-4,"cx0_1: 2.433e-2, cx0_14: 4.758e-2",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
Q1,71.62645446286233,102.42639928954068,5.23846471290535,5.15000000000001e-2,1.0964300696916702e-3,"cx1_0: 2.433e-2, cx1_2: 1.088e-2, cx1_13: 6.045e-2",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
Q2,88.31184850445491,185.18994911533346,5.03282139633799,2.0499999999999963e-2,8.018127092878913e-4,"cx2_1: 1.088e-2, cx2_3: 2.008e-2, cx2_12: 3.508e-2",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
Q3,68.29162132581376,57.50052413989265,4.89611726929829,6.600000000000006e-2,4.4875276405247885e-4,"cx3_2: 2.008e-2, cx3_4: 1.775e-2, cx3_11: 3.060e-2",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
Q4,59.0243148121789,32.14932120536357,5.026232664285188,3.400000000000003e-2,1.701222992586136e-3,"cx4_3: 1.775e-2, cx4_5: 2.513e-2, cx4_10: 2.430e-2",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
Q5,22.658576908168104,47.318630681367516,5.06689639170473,6.400000000000006e-2,2.5438911518826436e-3,"cx5_4: 2.513e-2, cx5_6: 6.955e-2, cx5_9: 5.338e-2",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
Q6,68.32678296444672,90.63269029536211,4.924028866322422,2.5500000000000078e-2,4.18441438534655e-3,"cx6_5: 6.955e-2, cx6_8: 1.662e-1",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
Q7,41.2591166466586,77.7255665038604,4.974500196754231,5.0999999999999934e-2,2.854350819352535e-3,"cx7_8: 3.683e-2",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
Q8,31.50989711351172,70.25203149533097,4.740683340676464,2.7e-1,7.113386726745718e-4,"cx8_6: 1.662e-1, cx8_7: 3.683e-2, cx8_9: 3.717e-2",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
Q9,33.80368530492586,40.58670194130607,4.963282001973824,5.149999999999999e-2,3.181054578189724e-3,"cx9_5: 5.338e-2, cx9_8: 3.717e-2, cx9_10: 5.028e-2",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
Q10,56.83269326203469,55.26843057519799,4.9452120970659195,2.300000000000002e-2,1.1451785218190471e-3,"cx10_4: 2.430e-2, cx10_9: 5.028e-2, cx10_11: 2.536e-2",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
Q11,54.2899787653244,64.54760072870373,5.004963926783675,4.249999999999998e-2,6.108888778997715e-4,"cx11_3: 3.060e-2, cx11_10: 2.536e-2, cx11_12: 1.826e-2",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
Q12,94.43904256738482,65.74827567592811,4.759993964872829,2.9000000000000026e-2,5.153025336990679e-4,"cx12_2: 3.508e-2, cx12_11: 1.826e-2, cx12_13: 2.821e-2",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
Q13,31.06864643325895,61.961406516828106,4.968328159138171,1.0899999999999999e-1,1.7447086279388973e-3,"cx13_1: 6.045e-2, cx13_12: 2.821e-2, cx13_14: 4.870e-2",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
Q14,40.99736106060433,47.28456974954018,5.001477501956218,3.4499999999999975e-2,6.982590726228859e-4,"cx14_0: 4.758e-2, cx14_13: 4.870e-2",Sun Jul 12 2020 00:56:47 GMT-0700 (Pacific Daylight Time)
